state,country,Lat,Long,Date,confirm,death,recover
"King County, WA",US,47.6062,-122.3321,3/9/20,83,17,1
"Cook County, IL",US,41.7377,-87.6976,3/9/20,7,0,2
"Los Angeles, CA",US,34.0522,-118.2437,3/9/20,14,0,0
"San Benito, CA",US,36.5761,-120.9876,3/9/20,2,0,0
"San Diego County, CA",US,32.7157,-117.1611,3/9/20,3,0,1
"Humboldt County, CA",US,40.745,-123.8695,3/9/20,1,0,0
"Sacramento County, CA",US,38.4747,-121.3542,3/9/20,2,0,0
"Snohomish County, WA",US,48.033,-121.8339,3/9/20,31,1,0
"Grafton County, NH",US,43.9088,-71.82600000000002,3/9/20,3,0,0
"Hillsborough, FL",US,27.9904,-82.3018,3/9/20,2,0,0
"Placer County, CA",US,39.0916,-120.8039,3/9/20,7,1,0
"San Mateo, CA",US,37.563,-122.3255,3/9/20,2,0,0
"Sonoma County, CA",US,38.578,-122.9888,3/9/20,3,0,0
"Umatilla, OR",US,45.775,-118.7606,3/9/20,1,0,0
"Fulton County, GA",US,33.8034,-84.3963,3/9/20,5,0,0
"Washington County, OR",US,45.547,-123.1386,3/9/20,8,0,0
"Norfolk County, MA",US,42.1767,-71.1449,3/9/20,6,0,0
"Maricopa County, AZ",US,33.2918,-112.4291,3/9/20,2,0,1
"Wake County, NC",US,35.8032,-78.5661,3/9/20,1,0,0
"Wetchester County, NY",US,41.122,-73.7949,3/9/20,98,0,0
"Orange County, CA",US,33.7879,-117.8531,3/9/20,4,0,0
"Contra Costa County, CA",US,37.8534,-121.9018,3/9/20,9,0,0
"Bergen County, NJ",US,40.9263,-74.077,3/9/20,4,0,0
"Harris County, TX",US,29.7752,-95.3103,3/9/20,6,0,0
"San Francisco County, CA",US,37.7749,-122.4194,3/9/20,9,0,0
"Clark County, NV",US,36.0796,-115.094,3/9/20,2,0,0
"Fort Bend County, TX",US,29.5693,-95.8143,3/9/20,6,0,0
"Grant County, WA",US,47.1981,-119.3732,3/9/20,1,1,0
"Santa Rosa County, FL",US,30.769,-86.9824,3/9/20,1,1,0
"Williamson County, TN",US,35.9179,-86.8622,3/9/20,1,0,0
"New York County, NY",US,40.7128,-74.006,3/9/20,19,0,0
"Montgomery County, MD",US,39.1547,-77.2405,3/9/20,4,0,0
"Suffolk County, MA",US,42.3601,-71.0589,3/9/20,8,0,1
"Denver County, CO",US,39.7392,-104.9903,3/9/20,2,0,0
"Summit County, CO",US,39.5912,-106.064,3/9/20,1,0,0
"Chatham County, NC",US,35.7211,-79.1781,3/9/20,1,0,0
"Delaware County, PA",US,39.9078,-75.3879,3/9/20,1,0,0
"Douglas County, NE",US,41.3148,-96.1951,3/9/20,3,0,0
"Fayette County, KY",US,38.0606,-84.4803,3/9/20,1,0,0
"Marion County, IN",US,39.8362,-86.1752,3/9/20,1,0,0
"Middlesex County, MA",US,42.4672,-71.2874,3/9/20,7,0,0
"Nassau County, NY",US,40.6546,-73.5594,3/9/20,17,0,0
"Ramsey County, MN",US,44.9964,-93.0616,3/9/20,1,0,0
"Washoe County, NV",US,40.5608,-119.6035,3/9/20,2,0,0
"Wayne County, PA",US,41.6739,-75.2479,3/9/20,1,0,0
"Yolo County, CA",US,38.7646,-121.9018,3/9/20,1,0,0
"Santa Clara County, CA",US,37.3541,-121.9552,3/9/20,38,0,1
"Douglas County, CO",US,39.2587,-104.9389,3/9/20,3,0,0
"Providence County, RI",US,41.8882,-71.4774,3/9/20,3,0,0
"Alameda County, CA",US,37.6017,-121.7195,3/9/20,2,0,0
"Broward County, FL",US,26.1901,-80.3659,3/9/20,3,0,0
"Lee County, FL",US,26.663,-81.9535,3/9/20,2,1,0
"Pinal County, AZ",US,32.8162,-111.2845,3/9/20,2,0,0
"Rockland County, NY",US,41.1489,-73.983,3/9/20,4,0,0
"Saratoga County, NY",US,43.0324,-73.936,3/9/20,2,0,0
"Charleston County, SC",US,32.7957,-79.7848,3/9/20,1,0,0
"Clark County, WA",US,45.7466,-122.5194,3/9/20,1,0,0
"Cobb County, GA",US,33.8999,-84.5641,3/9/20,3,0,0
"Davis County, UT",US,40.9629,-112.0953,3/9/20,1,0,0
"El Paso County, CO",US,38.9108,-104.4723,3/9/20,1,0,0
"Honolulu County, HI",US,21.307,-157.8584,3/9/20,2,0,0
"Jackson County, OR ",US,42.3345,-122.7647,3/9/20,2,0,0
"Jefferson County, WA",US,47.7425,-123.304,3/9/20,1,0,0
"Kershaw County, SC",US,34.3672,-80.5883,3/9/20,1,0,0
"Klamath County, OR",US,42.6953,-121.6142,3/9/20,1,0,0
"Madera County, CA",US,37.2519,-119.6963,3/9/20,1,0,0
"Pierce County, WA",US,47.0676,-122.1295,3/9/20,4,0,0
"Tulsa County, OK",US,36.1593,-95.941,3/9/20,1,0,0
"Montgomery County, PA",US,40.229,-75.3879,3/9/20,5,0,0
"Fairfax County, VA",US,38.9085,-77.2405,3/9/20,2,0,0
"Rockingham County, NH",US,42.9931,-71.0498,3/9/20,1,0,0
"Washington, D.C.",US,38.9072,-77.0369,3/9/20,2,0,0
"Berkshire County, MA",US,42.3118,-73.1822,3/9/20,1,0,0
"Davidson County, TN",US,36.1343,-86.822,3/9/20,1,0,0
"Douglas County, OR",US,43.1261,-123.2492,3/9/20,1,0,0
"Fresno County, CA",US,36.9859,-119.2321,3/9/20,1,0,0
"Harford County, MD",US,39.5839,-76.3637,3/9/20,1,0,0
"Hendricks County, IN",US,39.8065,-86.5401,3/9/20,2,0,0
"Hudson County, NJ",US,40.7453,-74.0535,3/9/20,1,0,0
"Johnson County, KS",US,38.8454,-94.8521,3/9/20,1,0,0
"Kittitas County, WA",US,47.175,-120.9319,3/9/20,1,0,0
"Manatee County, FL",US,27.4799,-82.3452,3/9/20,2,0,0
"Marion County, OR",US,44.8446,-122.5927,3/9/20,1,0,0
"Okaloosa County, FL",US,30.5773,-86.6611,3/9/20,1,0,0
"Polk County, GA",US,34.0132,-85.1479,3/9/20,1,0,0
"Riverside County, CA",US,33.9533,-117.3961,3/9/20,1,0,0
"Shelby County, TN",US,35.1269,-89.9253,3/9/20,1,0,0
"St. Louis County, MO",US,38.6103,-90.4125,3/9/20,1,0,0
"Suffolk County, NY",US,40.9849,-72.6151,3/9/20,1,0,0
"Ulster County, NY",US,41.8586,-74.3118,3/9/20,1,0,0
"Volusia County, FL",US,29.028,-81.0755,3/9/20,1,0,0
"Johnson County, IA",US,41.6699,-91.5984,3/9/20,3,0,0
"Harrison County, KY",US,38.4333,-84.3542,3/9/20,2,0,0
"Bennington County, VT",US,43.0279,-73.135,3/9/20,1,0,0
"Carver County, MN",US,44.8254,-93.7842,3/9/20,1,0,0
"Charlotte County, FL",US,26.8946,-81.9098,3/9/20,1,0,0
"Cherokee County, GA",US,34.2515,-84.4803,3/9/20,1,0,0
"Collin County, TX",US,33.1795,-96.493,3/9/20,1,0,0
"Jefferson County, KY",US,38.1938,-85.6435,3/9/20,1,0,0
"Jefferson Parish, LA",US,29.6499,-90.1121,3/9/20,1,0,0
"Shasta County, CA",US,40.7909,-121.8474,3/9/20,1,0,0
"Spartanburg County, SC",US,34.8606,-81.9535,3/9/20,1,0,0
Washington,US,47.4009,-121.4905,3/9/20,0,0,0
New York,US,42.1657,-74.9481,3/9/20,0,0,0
California,US,36.1162,-119.6816,3/9/20,0,0,0
Massachusetts,US,42.2302,-71.5301,3/9/20,0,0,0
Diamond Princess,US,35.4437,139.638,3/9/20,45,0,0
Grand Princess,US,37.6489,-122.6655,3/9/20,21,0,0
Georgia,US,33.0406,-83.6431,3/9/20,0,0,0
Colorado,US,39.0598,-105.3111,3/9/20,0,0,0
Florida,US,27.7663,-81.6868,3/9/20,0,0,0
New Jersey,US,40.2989,-74.521,3/9/20,0,0,0
Oregon,US,44.572,-122.0709,3/9/20,0,0,0
Texas,US,31.0545,-97.5635,3/9/20,0,0,0
Illinois,US,40.3495,-88.9861,3/9/20,0,0,0
Pennsylvania,US,40.5908,-77.2098,3/9/20,0,0,0
Iowa,US,42.0115,-93.2105,3/9/20,0,0,0
Maryland,US,39.0639,-76.8021,3/9/20,0,0,0
North Carolina,US,35.6301,-79.8064,3/9/20,0,0,0
South Carolina,US,33.8569,-80.945,3/9/20,0,0,0
Tennessee,US,35.7478,-86.6923,3/9/20,0,0,0
Virginia,US,37.7693,-78.17,3/9/20,0,0,0
Arizona,US,33.7298,-111.4312,3/9/20,0,0,0
Indiana,US,39.8494,-86.2583,3/9/20,0,0,0
Kentucky,US,37.6681,-84.6701,3/9/20,0,0,0
District of Columbia,US,38.8974,-77.0268,3/9/20,0,0,0
Nevada,US,38.3135,-117.0554,3/9/20,0,0,0
New Hampshire,US,43.4525,-71.5639,3/9/20,0,0,0
Minnesota,US,45.6945,-93.9002,3/9/20,0,0,0
Nebraska,US,41.1254,-98.2681,3/9/20,0,0,0
Ohio,US,40.3888,-82.7649,3/9/20,0,0,0
Rhode Island,US,41.6809,-71.5118,3/9/20,0,0,0
Wisconsin,US,44.2685,-89.6165,3/9/20,0,0,0
Connecticut,US,41.5978,-72.7554,3/9/20,0,0,0
Hawaii,US,21.0943,-157.4983,3/9/20,0,0,0
Oklahoma,US,35.5653,-96.9289,3/9/20,0,0,0
Utah,US,40.15,-111.8624,3/9/20,0,0,0
Kansas,US,38.5266,-96.7265,3/9/20,0,0,0
Louisiana,US,31.1695,-91.8678,3/9/20,0,0,0
Missouri,US,38.4561,-92.2884,3/9/20,0,0,0
Vermont,US,44.0459,-72.7107,3/9/20,0,0,0
Alaska,US,61.3707,-152.4044,3/9/20,0,0,0
Arkansas,US,34.9697,-92.3731,3/9/20,0,0,0
Delaware,US,39.3185,-75.5071,3/9/20,0,0,0
Idaho,US,44.2405,-114.4788,3/9/20,0,0,0
Maine,US,44.6939,-69.3819,3/9/20,0,0,0
Michigan,US,43.3266,-84.5361,3/9/20,0,0,0
Mississippi,US,32.7416,-89.6787,3/9/20,0,0,0
Montana,US,46.9219,-110.4544,3/9/20,0,0,0
New Mexico,US,34.8405,-106.2485,3/9/20,0,0,0
North Dakota,US,47.5289,-99.784,3/9/20,0,0,0
South Dakota,US,44.2998,-99.4388,3/9/20,0,0,0
West Virginia,US,38.4912,-80.9545,3/9/20,0,0,0
Wyoming,US,42.756,-107.3025,3/9/20,0,0,0
"Kitsap, WA",US,47.6477,-122.6413,3/9/20,0,0,0
"Solano, CA",US,38.3105,-121.9018,3/9/20,0,0,0
"Santa Cruz, CA",US,37.0454,-121.958,3/9/20,0,0,0
"Napa, CA",US,38.5025,-122.2654,3/9/20,0,0,0
"Ventura, CA",US,34.3705,-119.1391,3/9/20,0,0,0
"Worcester, MA",US,42.4097,-71.8571,3/9/20,0,0,0
"Gwinnett, GA",US,33.9191,-84.0167,3/9/20,0,0,0
"DeKalb, GA",US,33.7956,-84.2279,3/9/20,0,0,0
"Floyd, GA",US,37.5455,-82.7779,3/9/20,0,0,0
"Fayette, GA",US,33.4502,-84.4803,3/9/20,0,0,0
"Gregg, TX",US,32.4893,-94.8521,3/9/20,0,0,0
"Monmouth, NJ",US,40.2589,-74.124,3/9/20,0,0,0
"Burlington, NJ",US,40.0712,-74.8649,3/9/20,0,0,0
"Camden, NJ",US,39.9259,-75.1196,3/9/20,0,0,0
"Passaic, NJ",US,40.8568,-74.1285,3/9/20,0,0,0
"Union, NJ",US,40.6976,-74.2632,3/9/20,0,0,0
"Eagle, CO",US,39.6553,-106.8287,3/9/20,0,0,0
"Larimer, CO",US,40.6956,-105.5943,3/9/20,0,0,0
"Arapahoe, CO",US,39.6203,-104.3326,3/9/20,0,0,0
"Gunnison, CO",US,38.5458,-106.9253,3/9/20,0,0,0
"Kane, IL",US,41.9879,-88.4016,3/9/20,0,0,0
"Monroe, PA",US,41.0458,-75.2479,3/9/20,0,0,0
"Philadelphia, PA",US,39.9526,-75.1652,3/9/20,0,0,0
"Norfolk, VA",US,36.8508,-76.2859,3/9/20,0,0,0
"Arlington, VA",US,38.8816,-77.09100000000002,3/9/20,0,0,0
"Spotsylvania, VA",US,38.2042,-77.6078,3/9/20,0,0,0
"Loudoun, VA",US,39.0768,-77.6536,3/9/20,0,0,0
"Prince George, MD",US,38.7849,-76.8721,3/9/20,0,0,0
"Pottawattamie, IA",US,41.3912,-95.4778,3/9/20,0,0,0
"Camden, SC",US,34.2465,-80.607,3/9/20,0,0,0
"Pima, AZ",US,32.0575,-111.6661,3/9/20,0,0,0
"Noble, IN",US,41.4277,-85.355,3/9/20,0,0,0
"Adams, IN",US,39.8522,-77.2865,3/9/20,0,0,0
"Boone, IN",US,40.0106,-86.4997,3/9/20,0,0,0
"Dane, WI",US,43.0186,-89.5498,3/9/20,0,0,0
"Pierce, WI",US,44.7509,-92.3814,3/9/20,0,0,0
"Cuyahoga, OH",US,41.4339,-81.6758,3/9/20,0,0,0
"Weber, UT",US,41.2603,-111.9522,3/9/20,0,0,0
"Wilton, CT",US,41.1954,-73.4379,3/9/20,0,0,0
